n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,val_auc,val_accuracy,val_recall_used,val_precision_used
320,0.04998233148315347,5,8,0.8486520740895114,0.7352177467962215,0.8037240105554998,1.7034088792981883,0.9400191004299245,0.8620555555555557,0.8706780637725702,0.8376335041266464
253,0.0523943614431208,10,4,0.6703271834118931,0.6007308323887841,0.11452099068832378,1.0813733028672168,0.944755995888011,0.8695555555555555,0.8812908182865924,0.8437702572214476
253,0.04294411439569296,9,6,0.8875518029716529,0.7448590719582284,0.10911097034952455,0.008250936102764062,0.9437401658788934,0.8673666666666666,0.8796820975797157,0.8410110653852537
230,0.034705142499768575,11,8,0.778180199961815,0.7385798635749505,0.8024178627303533,1.3727771796513852,0.9430453565897722,0.8668111111111112,0.8796580868228967,0.8400680210466019
390,0.08983657104717566,12,3,0.5693625691303386,0.5500339576643203,0.252899190137699,0.5754356015182931,0.9438002374633658,0.8700555555555556,0.8751200537840953,0.8487660609614115
387,0.09853047862326261,12,3,0.5830683764988285,0.5368269421883315,0.2673324554683388,0.5685495117256766,0.9431414174940181,0.8690777777777777,0.8733912792931233,0.848197656165756
397,0.08876007329955152,10,3,0.5968331536029409,0.5639689367721411,0.30103149582272487,0.47979414447306623,0.9444270447455628,0.8700111111111111,0.8774010756819055,0.847153316294896
262,0.06985405444530932,9,3,0.6290777379947342,0.6199838754923778,0.3077574084366931,0.3555228636422837,0.945110802094666,0.8702444444444446,0.880690549366116,0.8453682927918824
250,0.06376902821892536,8,2,0.6530009015176111,0.6277392086485369,0.375591097478194,1.1539001289040074,0.9441075217183731,0.8684444444444445,0.8803543987706492,0.8424475895257795
155,0.06219963774787374,8,5,0.5047278114100899,0.6639934143348102,0.1821932139150524,0.9343765773860896,0.9417330986121623,0.8649111111111112,0.8766567422205147,0.8387145931426649
211,0.06698354420984493,10,4,0.6520917614078203,0.6140517221609604,0.4013245910964207,1.8972148862379936,0.9445285779889085,0.8689111111111112,0.8802823665001921,0.843307469545846
266,0.034432052994872474,7,2,0.6530682083282756,0.5966964890109524,0.13004820251641672,0.33704016136764947,0.9412970604477399,0.864111111111111,0.8751200537840953,0.8383308145832119
277,0.023157728463129166,10,6,0.702784656744977,0.5019657912779827,0.6515651490939158,0.7218454366174292,0.9426132732083432,0.8663666666666666,0.8794660007683441,0.8394154097027494
224,0.07226317835813105,9,2,0.5374668085061183,0.6667076120511307,0.4024500546823914,1.1606952891657292,0.9445424286678711,0.868688888888889,0.8798981943910872,0.84317544490083
